lang	p_nr	ann_pos	ann_elem	base_pos	base_pos
srp	937	24:25	['народ“,']	24:26	['народ“', ',']
srp	955	15:16	['„ви“.']	15:17	['„ви“', '.']
srp	955	22:23	['„ти“.']	23:25	['„ти“', '.']
srp	959	91:92	['„команди“.']	91:93	['„команди“', '.']
srp	969	6:7	['—промрмља']	6:8	['—', 'промрмља']
srp	1001	6:7	['„Самоуправе“.']	6:8	['„Самоуправе“', '.']
srp	1042	5:6	['суд“,']	5:7	['суд“', ',']
srp	1045	123:124	['се“;']	123:125	['се“', ';']
srp	1045	128:129	['слепи“;']	129:131	['слепи“', ';']
srp	1045	134:135	['црни“.']	136:138	['црни“', '.']
srp	1067	103:103	[]	103:104	['.']
srp	1088	11:12	['v']	11:11	[]
srp	1097	29:30	"['""есперанто"".']"	29:31	"['""есперанто""', '.']"
srp	1164	43:43	[]	43:44	['.']
srp	1176	51:52	"['жандарм"",']"	51:53	"['жандарм""', ',']"
srp	1210	27:28	"['је!..."".']"	27:29	"['је!...""', '.']"
srp	1265	9:10	"['Пошта!""']"	9:11	"['Пошта!', '""']"
srp	1265	74:75	"['""фота""']"	75:77	"['""', 'фота""']"
srp	1273	24:24	[]	24:25	['.']
rom	4	2:4	['perdută', ',']	2:3	['perdută,']
rom	10	2:4	['nimeni', ',']	2:3	['nimeni,']
rom	22	11:13	['minister', ',']	11:12	['minister,']
rom	42	12:14	['toate', ',']	12:13	['toate,']
rom	48	4:6	['parc', ',']	4:5	['parc,']
rom	55	6:7	['aici”,']	6:8	['aici”', ',']
rom	60	3:5	['poate', ',']	3:4	['poate,']
rom	68	1:3	['Înţeleg', ',']	1:2	['Înţeleg,']
rom	80	3:5	['Elescu', ',']	3:4	['Elescu,']
rom	85	3:5	['minunată', ',']	3:4	['minunată,']
rom	102	2:4	['îndoiam', ',']	2:3	['îndoiam,']
rom	109	2:4	['sînge', ',']	2:3	['sînge,']
rom	127	2:4	['dreptul', ',']	2:3	['dreptul,']
rom	168	11:12	['?”...']	11:13	['?”', '...']
rom	183	6:8	['uzură', ',']	6:7	['uzură,']
rom	438	21:22	['„devreme“...']	21:23	['„devreme“', '...']
rom	457	62:63	['etc.“.']	62:64	['etc.“', '.']
rom	482	12:13	['„şosea“...']	12:14	['„şosea“', '...']
rom	505	29:31	['văd“', '.']	29:31	['văd', '“.']
rom	512	369:369	[]	369:574	['„Capşa”', 'discuta', 'politică', 'cu', 'mărimile', '—', 'reporterul', 'partidului', '—', 'nu', 'umbla', 'pe', 'jos', 'decît', 'la', 'braţul', 'unui', 'ministru,', 'ş-atunci', 'muscalul', 'lui', '„domnu', 'Alfred”', 'mîna', 'la', 'pas', 'pe', 'lîngă', 'trotuar', ';', 'punea', 'supre-fecţi', 'în', 'slujbă,', 'înlesnea', 'furnituri,', 'antreprize,', 'tranzacţii', 'între', 'stat', 'şi', 'particulari»', 'deplasa', 'voturi', 'în', 'Parlament...', 'O,', 'era', 'teribil', 'domnu', 'Alfred', 'în', 'zilele', 'lui', 'de', 'glorie.', 'Dar', 's-a', 'lăcomit', 'din', 'cale-afară;', 'ş-a', 'făcut', 'şi', 'imprudenţi...', 'într-o', 'zi', 'a', 'publicat', 'în', '„ziarul', 'său”', 'o', 'informaţie,', 'cam', 'pripită', ':', '„Aflăm', 'cu', 'plăcere', 'că', 'simpaticul', 'nostru', 'amic', 'şi', 'confrate', 'Alfred', 'Gamulea', 'se', 'va', 'logodi', 'zilele', 'acestea', 'cu', 'gentila', 'd-şoară', 'Ema', 'Comino,', 'fiica', 'domnului', 'colonel', 'Comino.', 'Felicităm', 'etc...”', 'A', 'doua', 'zi', 'colonelul', 'a', 'tras', 'două', 'palme', 'milităreşti', 'simpaticului', 'ginere.', 'Lucrul', 'a', 'făcut', 'zgomot.', 'Tot', 'pe', 'atunci', '—', 'căci', 'aşa', 'vin', 'afurisitele', 'de', 'belele,', 'cu', 'grămada', '—', 'cîţiva', 'indiscreţi', 's-au', 'plîns', 'că', 'domnul', 'Alfred', 'le-a', 'luat', 'bani', 'ca', 'să', 'le', 'dea', 'slujbe,', 'ş-au', 'rămas', 'pe', 'drumuri...', 'Dacă', 'vă', 'închipuiţi', 'că', 'tînărul', 'Gamulea,', 'în', 'faţa', 'atîtor', 'scandate', 's-a', 'dat', 'afund,', 'sau', 'şi-a', 'mai', 'pierdut', 'din', 'aerele', 'sale', 'de', 'erou,', 'vă', 'înşelaţi', 'amar', ':', 'nu-l', 'cunoaşteţi.', 'E', 'drept', 'că,', 'victimă', 'acestor', 'infame', 'calomnii,', 's-a', 'retras', 'de', 'la', 'ziar.', 'De', 'astă', 'dată', 'informaţia', 'începea', 'aşa', ':', '„Anunţăm', 'cu', 'regret', 'pe', 'cititorii', 'noştri', 'că...”']
rom	515	26:27	['ce“.']	26:28	['ce“', '.']
rom	517	30:31	['dureri”,']	30:32	['dureri”', ',']
rom	552	26:27	['lui“.']	26:28	['lui“', '.']
rom	640	2:3	['bun”,']	2:4	['bun”', ',']
rom	860	30:31	['mine”.']	30:32	['mine”', '.']
rom	1235	124:125	['încurcătură”.']	124:126	['încurcătură”', '.']
rom	1236	84:85	['inima”.']	84:86	['inima”', '.']
rom	1239	9:10	['mea”.']	9:11	['mea”', '.']
rom	1244	12:13	['totul”.']	12:14	['totul”', '.']
rom	1246	10:11	['lumea”.']	10:12	['lumea”', '.']
rom	1250	154:155	['toţi”,']	154:156	['toţi”', ',']
rom	1251	32:33	['Citeşte”.']	32:34	['Citeşte”', '.']
rom	1253	6:6	[]	6:7	['.']
rom	1258	96:97	['lor”.']	96:98	['lor”', '.']
rom	1263	27:28	['sîuger”.']	27:29	['sîuger”', '.']
rom	1268	16:17	['dragă”.']	16:18	['dragă”', '.']
rom	1271	5:6	['preot”.']	5:7	['preot”', '.']
rom	1272	12:12	[]	12:13	['.']
rom	1275	21:22	['martor”.']	21:23	['martor”', '.']
rom	1276	72:72	[]	72:73	['.']
rom	1277	77:78	['„Daimon”.']	77:79	['„Daimon”', '.']
rom	1284	92:92	[]	92:93	['.']
rom	1303	63:64	['Turcii”.']	63:65	['Turcii”', '.']
rom	1306	22:23	['tineri”.']	22:24	['tineri”', '.']
rom	1314	4:4	[]	4:5	['.']
rom	1317	2:2	[]	2:3	['.']
rom	1322	20:21	['ursitei„']	20:22	['ursitei', '„']
rom	1323	84:85	['Nineaca”.']	84:86	['Nineaca”', '.']
rom	1324	12:13	['voastră”.']	12:14	['voastră”', '.']
rom	1325	94:95	['duşmanilor”.']	94:96	['duşmanilor”', '.']
rom	1327	3:3	[]	3:4	['.']
rom	1329	9:9	[]	9:10	['.']
rom	1336	19:20	['muscălească”.']	19:21	['muscălească”', '.']
rom	1344	50:51	['Golescului”,']	50:52	['Golescului”', ',']
rom	1348	21:22	['lafete”.']	21:23	['lafete”', '.']
rom	1352	60:61	['acuma”.']	60:62	['acuma”', '.']
rom	1353	33:34	['Jianu”.']	33:35	['Jianu”', '.']
rom	1358	35:36	['săi”.']	35:37	['săi”', '.']
rom	1364	15:16	['vină”.']	15:17	['vină”', '.']
rom	1365	70:71	['mine”.']	70:72	['mine”', '.']
rom	1369	27:28	['nemâncat”.']	27:29	['nemâncat”', '.']
rom	1370	32:33	['singur”.']	32:34	['singur”', '.']
rom	1373	34:35	['luptei”.']	34:36	['luptei”', '.']
rom	1375	16:17	['acolo”,']	16:18	['acolo”', ',']
rom	1379	85:86	['lua-o”.']	85:87	['lua-o”', '.']
rom	1381	7:7	[]	7:8	['.']
rom	1385	63:64	['hăţuri”.']	63:65	['hăţuri”', '.']
rom	1386	11:12	['bunica”.']	11:13	['bunica”', '.']
rom	1387	27:29	['Serbia”', ',']	27:28	['Serbia”,']
rom	1387	73:74	['Ada-Kale”.']	72:74	['Ada-Kale”', '.']
rom	1397	24:25	['patriot”,']	24:26	['patriot”', ',']
rom	1410	4:4	[]	4:5	['.']
rom	1419	4:5	['„Mehedinţi”.']	4:6	['„Mehedinţi”', '.']
rom	1421	30:31	['ba”.']	30:32	['ba”', '.']
rom	1436	51:51	[]	51:52	['.']
rom	1437	8:9	['Bucureşti”.']	8:10	['Bucureşti”', '.']
rom	1450	63:64	['săi”.']	63:65	['săi”', '.']
rom	1453	106:107	['ştie”.']	106:108	['ştie”', '.']
rom	1469	7:7	[]	7:8	['.']
rom	1471	4:5	['e”,']	4:6	['e”', ',']
rom	1478	46:47	['„apostaţilor”,']	46:48	['„apostaţilor”', ',']
rom	1481	32:33	['nşişi”.']	32:34	['nşişi”', '.']
rom	1499	23:23	[]	23:24	['.']
rom	1504	13:14	['eu”.']	13:15	['eu”', '.']
rom	1511	15:16	['sărmani”.']	15:17	['sărmani”', '.']
eng	100	7:8	"['True!""']"	7:8	"['true!""']"
eng	166	4:5	['True,']	4:5	['true,']
eng	279	6:7	['True']	6:7	['true']
eng	304	1:2	['True,”']	1:2	['true,”']
eng	304	6:7	['True,']	6:7	['true,']
eng	329	5:6	['True']	5:6	['true']
eng	339	89:90	['True']	89:90	['true']
eng	348	153:154	['True']	153:154	['true']
eng	369	3:4	['True,']	3:4	['true,']
eng	373	78:79	['happy!”—could']	78:80	['happy!”', '—could']
eng	500	153:154	"['liver;""—at']"	153:155	"['liver;""', '—at']"
eng	519	11:12	"['—""the']"	11:13	"['—', '""the']"
eng	528	5:6	['It']	5:6	"['""It']"
eng	542	108:108	[]	108:198	"['""Trumpet,""', 'in', 'asserting', 'that', 'Ladislaw,', 'if', 'the', 'truth', 'were', 'known,', 'was', 'not', 'only', 'a', 'Polish', 'emissary', 'but', 'crack-brained,', 'which', 'accounted', 'for', 'the', 'preternatural', 'quickness', 'and', 'glibness', 'of', 'his', 'speech', 'when', 'he', 'got', 'on', 'to', 'a', 'platform—as', 'he', 'did', 'whenever', 'he', 'had', 'an', 'opportunity,', 'speaking', 'with', 'a', 'facility', 'which', 'cast', 'reflections', 'on', 'solid', 'Englishmen', 'generally.', 'It', 'was', 'disgusting', 'to', 'Keck', 'to', 'see', 'a', 'strip', 'of', 'a', 'fellow,', 'with', 'light', 'curls', 'round', 'his', 'head,', 'get', 'up', 'and', 'speechify', 'by', 'the', 'hour', 'against', 'institutions', '""which', 'had', 'existed', 'when', 'he', 'was', 'in', 'his', 'cradle.""']"
eng	551	141:142	['I']	141:142	"['""I']"
eng	562	29:30	['True']	29:30	['true']
eng	590	2:3	['True,']	2:3	['true,']
eng	604	53:54	['True']	53:54	['true']
eng	629	51:52	['False']	51:52	['false']
eng	658	18:19	['effect:—“I']	18:20	['effect:—', '“I']
eng	677	164:165	['ch&gravere']	164:165	['ch&grave;re']
eng	724	39:40	['True']	39:40	['true']
eng	744	108:108	[]	108:110	['&c.,', '&c.']
eng	905	35:36	['False']	35:36	['false']
eng	970	44:45	['True']	44:45	['true']
slv	40	0:1	"[""*''iguman''""]"	0:2	"['*', ""''iguman''""]"
slv	48	0:1	"[""*''asura''""]"	0:2	"['*', ""''asura''""]"
slv	138	0:1	"[""*''šerbet''""]"	0:2	"['*', ""''šerbet''""]"
slv	209	0:1	"[""*''čoban''""]"	0:2	"['*', ""''čoban''""]"
slv	228	27:28	['zasledovanju“.']	27:29	['zasledovanju“', '.']
slv	238	4:6	['„', 'je']	4:5	['„je']
slv	319	22:23	['„Victory“!']	22:24	['„Victory“', '!']
slv	374	12:12	[]	12:18	['—', '—', '—', '—', '—', '—']
slv	386	60:61	['predragocen“,']	60:62	['predragocen“', ',']
slv	393	12:12	[]	12:18	['—', '—', '—', '—', '—', '—']
slv	404	12:12	[]	12:18	['—', '—', '—', '—', '—', '—']
slv	424	29:30	['plesu“.']	29:31	['plesu“', '.']
slv	424	49:50	['„Bier“,']	50:52	['„Bier“', ',']
slv	615	66:67	['hudi“,']	66:68	['hudi“', ',']
slv	696	41:42	['„ghazi“,']	41:43	['„ghazi“', ',']
slv	1175	4:5	['tega']	4:5	['„tega']
slv	1257	4:5	['to']	4:5	['„to']
slv	1418	9:10	['tu']	9:10	['„tu']
slv	1447	9:10	['„hruške“.']	9:11	['„hruške“', '.']
